Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,52490325640.2953,132396684080.151,179564275455.807,216760312151.616,208068814688.605,234321743781.76,261764344205.025,259613579190.332,292408330563.864,305674837195.003,296075434804.981,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 11/17/2016,,,,,,,,,,,,,,,
